Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
IVRS - Waterloo Area Office,3420 University Ave,Suite D,Waterloo,IA,50701,319-234-0319,,319-234-2576,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Sioux City Area Office,2508 E 4th Street,,Sioux City,IA,51101,712-255-8871,,712-277-1394,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Council Bluffs Area Office,300 W Broadway,Suite 33,Council Bluffs,IA,51503,712-328-3821,,712-325-0346,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Dubuque Area Office,820 Locust Street,,Dubuque,IA,52001,563-588-4697,,563-556-8664,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Iowa City Area Office,1700 S 1st Ave,Suite 25-D,Iowa City,IA,52240,319-354-4766,,319-337-5733,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Cedar Rapids Area Office,4403 1st Avenue SE,Suite L-10 (Lower Level),Cedar Rapids,IA,52402,319-294-9308,,319-294-9342,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Ottumwa Area Office,651 Indian Hills Dr,Suite 2,Ottumwa,IA,52501,641-682-7569,,641-682-6219,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Burlington Area Office,1000 N Roosevelt,,Burlington,IA,52601,319-753-2231,,319-753-2419,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
IVRS - Davenport Area Office,3827 W Locust Street,,Davenport,IA,52804,563-386-1200,,563-386-1831,http://www.ivrs.iowa.gov/Transition/HighSchoolPage.htm
Workforce Development Center - Waukesha County,892 Main Street,,Pewaukee,WI,53072,262-695-7800,,,http://www.wfdc.org/waukesha-county
Great Lakes Training & Development Corp.,3620 Wilgus Avenue,,Sheboygan,WI,53082,920-208-5856,,920-208-5819,http://ww1.sheboyganjobcenter.com/
Workforce Development Center - Washington County,2200 Green Tree Road,,West Bend,WI,53090,262-335-5300,,,http://www.wfdc.org/washington-county
Workforce Development Center - Ozaukee County,5555 W. Highland Rd,,Mequon,WI,53092,262-238-2880,,262-695-7890,http://www.wfdc.org/ozaukee-county
Dynamic Workforce Solutions- Elkhorn,400 County Road H,,Elkhorn,WI,53121,262-741-5180,,262-741-5275,http://www.dwfs.us/
Kenosha Boys and Girls Club/CYC Sports,1330 52nd Street,,Kenosha,WI,53180,262-654-6200,,262-654-0323,https://www.bgckenosha.org/
United Neighborhood Centers of Milwaukee,710 N. Plankinton Ave,Suite 740,Milwaukee,WI,53203,414-978-2024,info@uncom-milw.org,,https://www.uncom-milw.org/login.asp
Community Relations-Social Development Commission,1730 West North Avenue,,Milwaukee,WI,53205,414-906-2700,,,https://www.cr-sdc.org/services/youth
UMOS,2701 Chase Ave,,Milwaukee,WI,53207,414-389-6000,,,https://www.umos.org/
WRTP/BIG STEP,3732 W. Wisconsin Ave,,Milwaukee,WI,53208,414-342-9787 ext.236,kashley@wrtp.org,,https://wrtp.org/
Milwaukee Area Workforce Investment Board,2338 N. 27th St.,,Milwaukee,WI,53210,414-270-1782,,,https://www.employmilwaukee.org/Employ-Milwaukee/Job-Seeker.htm
Dynamic Workforce Solutions-Milwaukee,4201 N. 27th Street,#400,Milwaukee,WI,53216,414-270-1700,,,http://www.dwfs.us/
Milwaukee Area Technical College District,700 West State Street,,Milwaukee,WI,53233,414-302-2603,,,https://www.matc.edu/matc_news/2015_YouthBuildProgram.cfm
Racine Area Manufacturers and Commerce (RAMAC),300 Fifth Street,,Racine,WI,53403,262-634-1931,ramac@racinechamber.com,,https://www.racinechamber.com/
"Community Action, Inc.",20 Eclipse Center,600 Henry Ave,Beloit,WI,53511,608-313-1300,info@community-action.org,608-364-0513,https://community-action.org/
"Opportunities, Inc.",200 East Cramer Street,,Fort Atkinson,WI,53538,920-563-2437,,,https://www.oppinc.com/
Madison College - Truax,1701 Wright Street,,Madison,WI,53704,608-246-6100,,,https://madisoncollege.edu/
Employment and Training Association (EATA) Dane County Job Center,1819 Aberg Avenue,,Madison,WI,53704,608-288-2459,,608-242-7403,http://www.eata.org/
"Operation Fresh Start, Inc.",1925 Winnebago Street,,Madison,WI,53704,608-244-4721,,,http://www.operationfreshstart.org/program/
Forward Services Corp.,3116 International Lane,,Madison,WI,53704,608-244-3526,info@fsc-corp.org,608-244-1633,https://fsc-corp.org/
Dane County School Consortium,5301 Monona Drive,,Madison,WI,53716,608-316-1358,,608-221-4361,https://mydcsc.com/
Adams County Job Center,139 S Main Street,,Adams,WI,53910,608-472-4045,,715-422-5030,https://fsc-corp.org/
Moraine Park Technical College,700 Gould Street,,Beaver Dam,WI,53916,800-472-4554,communityed@morainepark.edu,,https://www.morainepark.edu/
Advocates for Healthy Transitional Living -DePere,3377 Packerland Drive,,De Pere,WI,54115,920-764-2485,info@advocateswi.com,,https://advocateswi.com/
College of Menominee Nation,N172 Hwy 47/55,P.O. Box 1179,Keshena,WI,54135,715-799-5600,,715-799-5043,http://www.menominee.edu/
Advocates for Healthy Transitional Living - Oconto Falls,506 Locust Street,,Oconto Falls,WI,54154,920-770-6511,info@advocateswi.com,,https://advocateswi.com/
Advocates for Healthy Transitional Living - Shawano,112 East Maurer Street,,Shawano,WI,54166,920-770-7135,info@advocateswi.com,,https://advocateswi.com/
Advocates for Healthy Transitional Living - Algoma,419 Third Street,,Algoma,WI,54201,920-770-7120,info@advocateswi.com,,https://advocateswi.com/
Family Services of Northeast WI,300 Crooks Street,,Green Bay,WI,54301,920-436-6800,intake@familyservicesnew.org,920-432-5966,http://www.familyservicesnew.org/
Marathon County Job Center,364 Grand Ave,,Wausau,WI,54403,715-261-8700,,715-261-8752,https://fsc-corp.org/
Forward Service Corp,618 5th Ave,,Antigo,WI,54409,715-623-2176,,715-623-4329,https://fsc-corp.org/
Forward Service Corp.,1100 Centerpoint Dr,Suite 203,Stevens Point,WI,54481,715-343-6368,,715-544-1563,https://fsc-corp.org/
"CAP Services, Inc.",5499 Hwy 10 East,,Stevens Point,WI,54482,920-968-6208,,,https://capservices.org/
Wisconsin Rapids Job Center,320 West Grand Ave,Suite 102,Wisconsin Rapids,WI,54495,715-384-3577,,715-422-4713,https://fsc-corp.org/
Northern Advantage Job Center,51 A North Brown St.,,Rhinelander,WI,54501,715-365-1500,,715-365-7848,https://fsc-corp.org/
Lac du Flambeau Band of Lake Superior Chippewa Indians,William Wildcat Tribal Center,,Lac du Flambeau,WI,54538,715-588-7925,,,https://www.ldftribe.com/
"Couleecap, Inc.",700 N. 3rd St.,Suite 202B,La Crosse,WI,54601,608-782-4877,,608-782-4822,https://www.couleecap.org/
WisCorps,789 Myrick Park Dr.,,La Crosse,WI,54601,608-782-2494 ext. 221,matt.gaworski@wiscorps.org,,https://wiscorps.org/
Western Technical College,400 Seventh Street North,,La Crosse,WI,54602,608-785-9200,holts@westerntc.edu,,https://www.westerntc.edu/youthbuild-lacrosse
Wisconsin Challenge Academy,749 E 12th Save,,Ft. McCoy,WI,54656,608-269-9000,challenge@wisconsin.gov,,https://www.challengeacademy.org/
"Workforce Resource, Inc.",401 Technology Drive East,,Menomonie,WI,54751,800-472-5522,,715-232-2240,https://www.workforceresource.org/
"Northwest Wisconsin CEP, Inc.",422 3rd Street West,Suite 200,Ashland,WI,54806,715-682-9141,,715-682-9181,https://nwcep.org/
Fox Valley Technical College,1825 N. Bluemound Dr,,Appleton,WI,54912,920-735-5600,,920-735-5670,https://www.fvtc.edu/
"Advocap, Inc. - Fond du Lac",19 West First Street,,,WI,54936,920-539-8532,,,http://www.advocap.org/employment-and-training.html
"Advocap, Inc. - Winnebago County",181 E. North Water St.,Ste. 210,Neenah,WI,54956,920-252-3216,,920-922-7212,http://www.advocap.org/
"Workforce Development, Inc",201 South Lyndale Ave ,#1,Faribault,MN,55021,507-333-2088,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",965 Alexandria Dr SW,,Owatonna,MN,55060,507-431-2275,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",1606 West 3rd St,,Red Wing,MN,55066,651-385-6402,,,https://www.workforcedevelopmentinc.org/
Genesys Works Twin Cities,445 Minnesota Street,Suite 720,Saint Paul,MN,55101,651-789-0088,tcadmin@genesysworks.org,,https://genesysworks.org/twin-cities/
YWCA of St. Paul - Girls Emerge,375 Selby Avenue,,Saint Paul,MN,55102,651-222-3741,,,https://www.ywcastpaul.org/youth/
LifeTrack Resources,709 University Avenue West,,Saint Paul,MN,55104,651-227-8471,mail@lifetrack-mn.org,,https://lifetrack-mn.org/
Hmong American Partnership,1075 Arcade Street,,Saint Paul,MN,55106,651-495-1557,,,https://www.hmong.org/
180 Degrees - St. Paul,1301 E 7th Street,,Saint Paul,MN,55106,651-332-5500,info@180Degrees.org,,https://www.180degrees.org/youth-enrichment.html
Guadalupe Alternative Programs,381 East Robie Street,,Saint Paul,MN,55107,651-262-5805,,,https://www.gapschool.org/gap-school.html
Workforce Solutions of Ramsey County,2098 11th Avenue East,,North Saint Paul,MN,55109,651-266-9890,,651-779-5240,https://www.ramseycounty.us/businesses/workforce-business-development/workforce-development
Minnesota CareerForce Center Burnsville,One Mendota Road,Suite 100,Burnsville,MN,55118,651-554-5955,,651-554-5709,https://www.careerforcemn.com/burnsville
Washington County Young Adult Program,2150 Radio Dr.,,Woodbury,MN,55125,651-275-8650,,651-275-8682,https://www.co.washington.mn.us/1923/Young-Adult-Program
Hope 4 Youth,2665 4th Ave N,Suite 40,Anoka,MN,55303,763-323-2066,info@hope4youthmn.org,,https://www.hope4youthmn.org/
Carver County,602 East Fourth Street,,Chaska,MN,55318,952-361-1711,,,https://www.co.carver.mn.us/
Central Minnesota Jobs and Training Services,406 7th Street East,PO Box 720,Monticello,MN,55362,800-284-7425,,763-271-3701,https://www.cmjts.org/
Scott County Employment & Training,752 Canterbury Road South,,Shakopee,MN,55379,952-496-8686,,,https://www.scottcountymn.gov/475/Employment-Training
Minneapolis Employment and Training Program,105 - 5th Avenue South,Suite 200,Minneapolis,MN,55401,612-673-5118,Nina.Robertson@minneapolismn.gov,612-673-5299,http://www.minneapolismn.gov/cped/metp/
180 Degrees - Minneapolis,236 Clifton Avenue South,,Minneapolis,MN,55403,612-813-5000,info@180Degrees.org,,https://www.180degrees.org/youth-enrichment.html
YouthLink - Youth Opportunity Center,41 N 12th St,,Minneapolis,MN,55403,612-408-8527,,,https://www.youthlinkmn.org/youth-opportunity-center/
American Indian OIC,1845 E Franklin Ave,,Minneapolis,MN,55404,612-341-3358,info@aioic.org,,http://aioic.org/
Pillsbury United Communities at Waite House,2323 11th Avenue South,,Minneapolis,MN,55404,612-721-1681,,,https://pillsburyunited.org/
Lutheran Social Service of MN,2400 Park Ave S,,Minneapolis,MN,55404,612-354-3345,,,https://www.lssmn.org/
RESOURCE,900 20th Avenue South,,Minneapolis,MN,55404,612-752-8200,becca.lopez@avivomn.org,,http://www.resource-mn.org/
The Bridge for Youth - Work Ready,1111 West 22nd Street,,Minneapolis,MN,55405,612-230-6675,,,https://www.bridgeforyouth.org/find-help/support-groups/
"HIRED, Inc.",1200 Plymouth Avenue North,,Minneapolis,MN,55411,612-529-3342,information@hired.org,,http://www.hired.org/
North High School,1500 James Ave N,,Minneapolis,MN,55411,612-220-5983,,,http://www.hired.org/
EMERGE Community Development,1824 Emerson Ave N,,Minneapolis,MN,55411,612-529-9267,info@emerge-mn.org,,https://emerge-mn.org/
Henry High School,4320 Newton Ave North,,Minneapolis,MN,55412,612-408-8319,,,http://www.hired.org/
East Side Neighborhood Services,1700 2nd Street NE,,Minneapolis,MN,55413,612-781-6011,agencyinfo@esns.org,,https://www.esns.org/
HIRED ,1701 American Blvd E,Suite 1,Bloomington,MN,55425,952-346-4083,information@hired.org,,http://www.hired.org/
Tree Trust,2231 Edgewood Avenue South ,,Saint Louis Park,MN,55426,612-590-2347,shanna.slice@treetrust.org,,http://treetrust.org/
Oasis for Youth Resource Center,2200 W Old Shakopee Road,,Bloomington,MN,55431,952-512-2061,info@oasisforyouth.org,,https://www.oasisforyouth.org/
Anoka County Job Training Center,1201 89th Avenue Northeast,,Blaine,MN,55434,763-324-2284,,763-783-4814,https://www.anokacounty.us/1293/Empowers-Youth-Program
"Hennepin County Housing, Community Works and Transit",4220 West Old Shakopee Road,,Bloomington,MN,55437,612-596-7431,,612-321-3372,https://www.hennepin.us/
Northeast Minnesota Office of Job Training Minnesota WorkForce Center,820 N 9th Street,PO Box 1028,Virginia,MN,55792,218-735-3740,,218-741-5424,http://www.nemojt.org/
Youth Employment Services - Duluth,402 W 1st St,,Duluth,MN,55802,218-302-8400,,218-730-5952,https://duluthmn.gov/workforce-development/youth-young-adults/
Southeast Minnesota Workforce Development Inc.,2070 College View Rd E,,Rochester,MN,55904,507-292-5152,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",1600 8th Ave NW,,Austin,MN,55912,507-433-0555,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",110 East Grove St,,Caledonia,MN,55921,507-724-5231,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",504 S Mantorville Ave,#4,Kasson,MN,55944,507-634-7380,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",PO Box 395,,Preston,MN,55965,507-765-2476,,,https://www.workforcedevelopmentinc.org/
"Workforce Development, Inc",222 West Main St,,Wabasha,MN,55981,651-565-2635,,,https://www.workforcedevelopmentinc.org/
South Central Workforce Council,706 N Victory Dr,,Mankato,MN,56001,507-345-2418,,507-345-2414,http://www.workforcecouncil.org/
"Workforce Development, Inc",2200 Riverland Dr,,Albert Lea,MN,56007,507-369-1488,,,https://www.workforcedevelopmentinc.org/
Southwest Minnesota Private Industry Council,607 West Main Street,,Marshall,MN,56258,507-476-4040,info@swmnpic.org,507-537-6362,http://www.swmnpic.org/
Career Solutions,1542 Northway Drive,,St. Cloud,MN,56303,320-308-5320,Denise.Hooper@csjobs.org,320-308-1718,https://careersolutionsjobs.org/job-seekers/youth-programs/wioa-young-adult-program/
"Rural Minnesota CEP, Inc",803 Roosevelt Avenue,PO Box 1108,Detroit Lakes,MN,56502,218-846-7400,,218-846-7404,https://www.rmcep.com/individuals/youth-services-overview
Bi-Cap YouthBuild,6603 Bemidji Avenue N,,Bemidji,MN,56601,218-333-9869,,,https://www.bicap.org/projects/youth-build/
Northwest Private Industry Council,1301 Hwy 1 E,,Thief River Falls,MN,56701,218-683-8060,jperson@intercountycc.org,,https://www.nwpic.net/
Inter-County Community Council,207 Main St,PO Box 189,Oklee,MN,56742,888-778-4008,,,https://intercountycc.org/
Here4Youth After-School & Summer Program,1721 West 51st Street,,Sioux Falls,SD,57105,605-271-6327,,,https://www.lsssd.org/what-we-do/child-adolescent-services/childcare-education/here4youth-after-school-summer-program.html
"Mountain Plains Youth Services, Inc.",225 W Rosser Ave,,Bismarck,ND,58501,701-255-7229,,,
HRDC - Billings Disctrict VII,PO Box 2016,,Billings,MT,59103,406-247-4732,info@hrdc7.org,,http://hrdc7.org/
HRDC - Glendive Action for Eastern Montana,PO Box 1309,,Glendive,MT,59330,406-345-2131,i.toledo@aemt.org,,https://aemt.org/our-services/employment-and-training/
Opportunities Inc. (HRDC),622 1st Ave S,PO Box 2289,Great Falls,MT,59403,406-761-8462,,,http://www.gfoppinc.org/
HRDC - Lewistown District VI,300 1st Avenue N,Suite 203,Lewistown,MT,59457,406-535-7488,,,http://www.hrdc6.org/
HRDC- Havre District IV,2229 5th Avenue,,Havre,MT,59501,406-265-6743 ext.1103,et@hrdc4.org,,https://hrdc4.org/
Helena Career Training Institute,347 Last Chance Gulch,,Helena,MT,59601,406-433-0800 ext. 130,,,http://www.ctibrc.org/
"ACTION, Inc.",25 West Silver Street,,Butte,MT,59701,406-533-6855,,,https://butteassistanceprograms.org/trainingwork-experience/
HRDC - Bozeman District IX,32 South Tracy,,Bozeman,MT,59715,406-585-4878,jhaines@thehrdc.org,,https://thehrdc.org/
Montana Youth Challenge Academy,790 E Cornell Street,,Dillon,MT,59725,406-683-7556,mtchallenge@mt.gov,,http://youthchallenge.mt.gov/
HRDC - Missoula District XI,1801 S Higgins,,Missoula,MT,59801,406-728-3710,info@hrcxi.org,,http://www.humanresourcecouncil.org/
Human Resource Council - Ravalli County,303 N Third,,Hamilton,MT,59840,406-363-6101,info@hrcxi.org,,http://www.humanresourcecouncil.org/workforce-investment-act-youth-program
Human Resource Council - Mineral County,211 Third Avenue W,,Superior,MT,59872,406-822-4251,info@hrcxi.org,,http://www.humanresourcecouncil.org/workforce-investment-act-youth-program
Jobs for Montana's Graduates (JMG),427 First Avenue E,,Kalispell,MT,59901,406-758-6221,jdanielson@mt.gov,,http://jmg.mt.gov/
Jobs for Montana's Graduates (JMG),933 Farm to Market Rd,Ste. B,Libby,MT,59923,406-293-2712 ext. 20,rholm@mt.gov,,http://jmg.mt.gov/
Pioneer Center for Human Services,4100 Veterans Parkway,,McHenry,IL,60050,815-344-1230,,815-344-3815,https://www.pioneercenter.org/
YouthBuild Lake County,2100 Green Bay Road,,North Chicago,IL,60064,847-473-3483,,,https://youthbuildlakecounty.org/
The Bridge Youth & Family Services,721 S Quentin Road,#103,Palatine,IL,60067,847-359-7490,bridge1@bridgeyouth.org,847-359-7525,https://bridgeyouth.org/
Turning Point Behavioral HealthCare Center,8324 Skokie Blvd.,,Skokie,IL,60077,847-933-0051,,847-933-0057,https://www.tpoint.org/
Youth Conservation Corps,1020 West Greenwood Avenue,,Waukegan,IL,60087,847-623-0900,,,https://youthconservationcorps.org/
One Hope United (Hudelson Baptist Children's Home),1901 N Lewis Ave,,Waukegan,IL,60087,847-662-0945,,217-347-5897,https://onehopeunited.org/
OMNI Youth Services,1111 West Lake Cook Rd,,Buffalo Grove,IL,60089,847-520-8856,info@omniyouth.org,847-465-1964,http://www.omniyouth.org/
Haven Youth & Family Services,825 Green Bay Rd,Suite 200,Wilmette,IL,60091,847-251-6630,info@havenforyouth.org,847-251-6134,http://havenforyouth.org/
"DeKalb County Youth Service Bureau, Inc.",330 Grove Street,,DeKalb,IL,60115,815-748-2010,,815-748-2019,https://dcysb.com/
Kishwaukee College,21193 Malta Road,,Malta,IL,60150,815-825-9341,,,https://www.kish.edu/community-friends-adult-education-transition-programs-workforce-transition/wioa-youth-program
DuPage Youth Services Coalition,130 West Liberty Dr,Suite 212,Wheaton,IL,60187,,,630-682-1910,
"Youth and Opportunity United, Inc.",1027 Sherman Avenue,,Evanston,IL,60202,847-866-1200,info@youthopportunity.org,847-866-9143,https://youthopportunity.org/
Youth Crossroads,3401 S Gunderson Ave,,Berwyn,IL,60402,708-484-7400,contactus@youthcrossroads.org,708-484-7492,https://www.youthcrossroads.org/
Moraine Valley Youth Program The Career Connections,12940 S. Western Ave,#206,Blue Island,IL,60406,708-974-4300,,,https://www.morainevalley.edu/ccce/career-connections-workforce-development/youth-career-connections-workforce-development/
Bethel Family Resource Center,1250 Portland Avenue,,Chicago Heights,IL,60411,708-758-5585,,,http://www.illinoisyouthbuild.org/youthbuild-chicago-heights.html
Aunt Martha's Youth Service Center Inc.,19990 Governor's Highway,,Olympia Fields,IL,60461,877-692-8686,,708-747-7990,https://www.auntmarthas.org/
Pillars Community Services,1023 S Burlington Ave,,Western Springs,IL,60558,708-745-5277,,708-995-3803,https://pillarscommunityhealth.org/
Genesys Works Chicago,180 N Wabash Ave,Suite 600,Chicago,IL,60601,312-525-9995,chicagoinfo@genesysworks.org,,https://genesysworks.org/about-us/mission-vision/
Bottom Line - Chicago,65 E Wacker Place,Ste. 800,Chicago,IL,60601,312-219-6254,cbroughton@bottomline.org,,https://www.bottomline.org/what-we-do
All Stars Project Chicago,53 W Jackson Blvd.,Suite 1135,Chicago,IL,60604,312-994-3102,tjones@allstars.org,,https://allstars.org/locations/chicago/
Children's Home and Aid Society of Illinois,125 South Wacker Drive,"14th Floor, Suite 1400",Chicago,IL,60606,312-424-0200,,312-424-0056,https://www.childrenshomeandaid.org/
Urban Alliance,205 W Randolph Street,Suite 410,Chicago,IL,60606,312-496-3300,jketchum@theurbanalliance.org,,https://theurbanalliance.org/locations/chicago/
Bridges From School to Work,850 W Jackson Blvd,Suite 660,Chicago,IL,60607,312-432-6240,kenneth.upshaw@marriott.com,,http://www.bridgestowork.org/locations/chicago/
Youth Outreach Services,2411 W Congress Parkway,,Chicago,IL,60612,773-777-7112,info@yos.org,773-777-7611,https://www.yos.org/
Community Development Institute,7836 South Union Avenue,,Chicago,IL,60620,773-224-2273,,,https://www.cydihs.org/
Alternative Schools Network - Added Chance,1122 N Milwaukee Ave.,,Chicago,IL,60622,773-342-4243,,,http://www.asnchicago.org/addedchance
Central States SER-Jobs for Progress Inc.,3948 West 26th Street,Suite 213,Chicago,IL,60623,773-858-8937,,,www.centralstatesser.org/index.php/programs/for-youth
Metropolitan Family Services,235 E 103rd St.,,Chicago,IL,60628,312-986-4000,contactus@metrofamily.org,,https://www.metrofamily.org/south-side-youth-to-get-construction-jobs-training-certification-in-youthbuild/
"Alternatives, Inc.",4730 North Sheridan Road,,Chicago,IL,60640,773-506-7474,,773-506-9420,https://www.alternativesyouth.org/
Universal Family Connection,1350 West 103rd St.,,Chicago,IL,60643,773-881-1711 ext.1175,info@ufcinc.org,773-881-3379,http://universalfamilyconnection.com/
i.c. stars,415 N Dearborn,3rd Floor,Chicago,IL,60654,312-640-3850,info@icstars.org,,https://www.icstars.org/
Jane Adams Community Mental Health Center,421 W Exchange Street,,Freeport,IL,61032,815-599-7310,,815-599-7398,
Lutheran Social Services of Illinois,1261 IL Route 38,,Nachusa,IL,61057,815-626-7333,info@lssi.org,815-284-6162,https://www.lssi.org/
"Comprehensive Community Solutions, Inc.",917 South Main Street,,Rockford,IL,61101,815-963-6236,,,http://comprehensivecommunitysolutions.org/
"Youth Services Network, Inc.",107 N 3rd Street,,Rockford,IL,61107,815-986-1947,youthservices@xta.com,815-986-1954,https://ysnkids.com/
Youth Service Bureau of Ilinois Valley,424 West Madison Street,,Ottawa,IL,61350,815-433-3953,contactus@ysbiv.org,815-433-3980,http://www.ysbiv.org/
Children's Home Association of Illinois,2130 N Knoxville Avenue,,Peoria,IL,61603,309-685-1047,flee@chail.org,309-687-7421,https://www.chail.org/
The Center for Youth and Family Services,2610 Richwoods Avenue,,Peoria,IL,61604,309-323-6573,bporter@cyfsolutions.org,309-261-8160,https://www.cyfsolutions.org/
Project Oz,1105 W. Front Street,,Bloomington,IL,61701,309-827-0377,projectoz@projectoz.org,309-829-8877,https://www.projectoz.org/
"YBMC, Inc.",360 Wylie Dr.,Suite D,Normal,IL,61761,309-261-6348,,,http://www.dhs.state.il.us/page.aspx?item=43968
Young Adult Reentry Program,1776 E. Washington Street,,Urbana,IL,61802,217-531-8269,info@ccrpc.org,,https://ccrpc.org/programs/young-adult-reentry-program/
Lincoln's ChalleNGe Academy,205 Dodge Avenue,,Rantoul,IL,61866,,,,http://www.lincolnschallenge.org/
Illinois Coalition for Community Services,845 18th St,,Charleston,IL,61920,217-549-2106,,217-345-1227,https://www.iccscares.org/
Lewis and Clark Community College,5800 Godfrey Road,,Godfrey,IL,62035,618-468-4100,,,https://www.lc.edu/Youthbuild/
Children's Home and Aid,21333 Johnson Road,,Granite City,IL,62040,312-424-0200,,618-452-9062,https://www.childrenshomeandaid.org/
Emerson Park Development Corporation,1798 Summit Avenue,,East St. Louis,IL,62205,618-874-1671,,,http://www.emersonpark.org/youthbuild-construction-trades-training.html
Human Services Center of Southern Metro East,10257 State Route 3,,Red Bud,IL,62278,618-282-6233,,618-282-6220,http://ourhsc.org/
Chaddock,205 S 24th Street,,Quincy,IL,62301,217-222-0034,,217-222-0253,https://www.chaddock.org/
Homework Hangout Club Inc.,249 S. Webster,,Decatur,IL,62521,217-519-2821,,,https://www.facebook.com/HomeworkHangoutClub/
Youth Advocate Program,202 E Eldorado Street,,Decatur,IL,62523,717-232-7580,,217-422-1324,http://www.yapinc.org/
Midwest Youth Services,2001 West Lafayette Ave,,Jacksonville,IL,62650,217-245-6000,,217-245-7000,http://mys-kids.org/
Youth Service Bureau,2901 Normandy Road,,Springfield,IL,62703,866-529-8300,ysb@ysbi.com,217-529-8314,http://www.ysbi.com/
Wadi Community Action Partnership,110 Latham Street,,Enfield,IL,62835,618-963-2387,agarlick@wadi-inc.com,,https://wadi-inc.com/index.cfm?fuseaction=dep_intro&dept_id=12
Spero Family Services,2023 Richview Road,,Mt. Vernon,IL,62864,618-242-5600,,,https://sperofs.org/adult-readiness/
Centerstone - Career Connect,902 West Main Street,,West Frankfort,IL,62896,618-997-5336 ext. 7783,careerconnect.il@centerstone.org,618-985-1020,https://centerstone.org/
Egyptian Public and Mental Health Department,1412 U.S. 45 North,,Eldorado,IL,62930,618-273-3326,wscates@eyptian.org,618-273-2808,https://www.egyptian.org/
"Family Counseling Center, Inc.",125 N Market Street,,Golconda,IL,62938,618-683-2461,,618-658-2501,https://www.fccinconline.org/
St. Louis Agency on Training and Employment,1520 Market Street,,St. Louis,MO,63103,314-657-3575,,,https://www.stlouis-mo.gov/government/departments/slate/youth/index.cfm
Employment Connection,2838 Market Street,,St. Louis,MO,63103,314-333-5627 ext.5685,mccoym@employmentstl.org,,https://www.employmentstl.org/
npower - Missouri,3026 Laclede Avenue,Harris-Stowe State University,St. Louis,MO,63103,,admissionsstlouis@npower.org,,https://www.npower.org/locations/
MERS Goodwill,St. Louis County,,,MO,63106,314-982-8827,rmack@mersgoodwill.com,,https://mersgoodwill.org/programs-services/
Better Family Life,5415 Page Blvd.,,St. Louis,MO,63112,314-454-0622,info@betterfamilylife.org,,https://www.betterfamilylife.org/workforce-development.html
Alternative Opportunities/ Jess,7020 Chippewa Street,,St. Louis,MO,63119,314-644-1913,mdavies@aoinc.org,,
Family and Workforce Centers of America (FWCA),5261 Delmar Boulevard,Suite B,St. Louis,MO,63133,314-932-1177,,,https://www.fwca-stl.com/youth-services-1
St. Charles Community College,4601 Mid Rivers Mall Dr.,,Cottleville,MO,63376,636-922-4185,,636-922-8251,https://www.stchas.edu/
Cape Giradeau Career & Technology Center,1080 S Silver Springs Rd.,,Cape Girardeau,MO,63703,573-334-0826,ungerk@capetigers.com,,https://capectc.capetigers.com
"Housing Authority of Kansas City, Missouri",920 Main Street,,Kansas City,MO,64105,816-285-4075,,,www.hakc.org/resident_services/youthbuild.aspx#
Job Point,2116 Nelwood Drive,,Columbia,MO,65202,573-777-1584,,,http://www.jobpointmo.com/services/youthbuild/
Anderson County Abstract  ,109 East 4th,,Garnett,KS,66032,785-448-2426,,,
"United Way of Wyandotte County, Inc.",434 Minnesota Avenue,P.O. Box 1042,Kansas City,KS,66101,913-371-3674,,,https://community.unitedway-wyco.org/servlet/eAndar.article/404/Our-Programs
Fort Scott Community College,2108 Horton,,Fort Scott,KS,66701,800-874-3722,,,fortscott.edu/
Buck Run Community Center,735 Scott Ave,,Ft. Scott,KS,66701,620-223-0386,,,http://www.buckruncommunitycenter.org/
Altoona - Midway High School USD 387,20704 US 75 Highway,,Buffalo,KS,66717,620-537-7711,,,http://www.usd387.org/
Allen County Community College,1801 N. Cottonwood,,Iola,KS,66749,620-365-5116 ext.6268,admissions@allencc.edu,,https://www.allencc.edu/
City of Pittsburg,PO Box 688,,Pittsburg,KS,66762,620-231-4100,,,https://www.pittks.org/
Flint Hills Technical College,3301 W 18th Ave,,Emporia,KS,66801,620-343-4600,,,https://www.fhtc.edu/web/site/main
Unified School District 253,501 Merchant,,Emporia,KS,66801,,,,https://www.usd253.org/
Emporia Veterinary Hospital,710 Anderson St,,Emporia,KS,66801,620-342-6515,,,https://www.emporiavet.com/
